nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0741627	Reginald Rose	1920	2002	writer,producer	tt0054531,tt0040051,tt0078294,tt0050083
nm0001486	Sidney Lumet	1924	2011	director,producer,writer	tt0292963,tt0050083,tt0070666,tt0072890
nm0275835	John Fiedler	1925	2005	actor,soundtrack	tt0076363,tt0050083,tt0063374,tt0065126
nm0000842	Martin Balsam	1919	1996	actor	tt0074119,tt0059798,tt0054215,tt0050083
nm0002011	Lee J. Cobb	1911	1976	actor,director,soundtrack	tt0050083,tt0047296,tt0059557,tt0053804
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0050083,tt0051207,tt0082846,tt0032551
nm0579673	Sally Menke	1953	2010	editor,producer,sound_department	tt0266697,tt0361748,tt0110912,tt0378194
nm0782900	Andrzej Sekula	1954	\N	cinematographer,director,camera_department	tt0144084,tt0285492,tt0105236,tt0110912
nm0004744	Lawrence Bender	1957	\N	producer,camera_department,actor	tt0266697,tt0361748,tt0110912,tt0105236
nm0000812	Roger Avary	1965	\N	writer,producer,director	tt0110265,tt0105236,tt0110912,tt0442933
nm0000233	Quentin Tarantino	1963	\N	writer,actor,producer	tt0116367,tt0110912,tt7131622,tt0105236
nm0000246	Bruce Willis	1955	\N	actor,producer,soundtrack	tt0088571,tt0167404,tt0095016,tt0110912
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,soundtrack	tt4154664,tt3460252,tt0417148,tt0110912
nm0000235	Uma Thurman	1970	\N	actress,soundtrack,producer	tt0118688,tt0266697,tt0378194,tt0110912
nm0000237	John Travolta	1954	\N	actor,soundtrack,producer	tt0077631,tt0110912,tt0113161,tt0076666
nm0913300	David Wasco	\N	\N	production_designer,art_department,actor	tt0369339,tt3783958,tt0266697,tt0361748
nm0809059	Lee Smith	1960	\N	editor,sound_department,editorial_department	tt5013056,tt0468569,tt1375666,tt8579674
nm0002892	Wally Pfister	1961	\N	cinematographer,camera_department,director	tt1375666,tt0468569,tt0372784,tt0482571
nm0001877	Hans Zimmer	1957	\N	music_department,composer,soundtrack	tt0988045,tt1160419,tt1375666,tt0172495
nm0858799	Emma Thomas	1971	\N	producer,miscellaneous,actress	tt0154506,tt1375666,tt5013056,tt0468569
nm0913822	Ken Watanabe	1959	\N	actor,producer,director	tt3741700,tt1375666,tt0831387,tt0325710
nm0680983	Elliot Page	1987	\N	actor,producer,soundtrack	tt0467406,tt1375666,tt0424136,tt1877832
nm0330687	Joseph Gordon-Levitt	1981	\N	actor,producer,soundtrack	tt1375666,tt1276104,tt1306980,tt2229499
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,soundtrack	tt0993846,tt0407887,tt0120338,tt1375666
nm0245596	Guy Hendrix Dyas	1968	\N	art_department,production_designer,visual_effects	tt12536294,tt1355644,tt1375666,tt2080374
nm0801728	Stephen Sinclair	\N	\N	writer,director,actor	tt0097858,tt0103873,tt1340119,tt0167261
nm0149556	Ceán Chaffin	1957	\N	producer,cinematographer	tt0421715,tt1285016,tt0443706,tt2267998
nm0068501	Ross Grayson Bell	\N	\N	producer,director,actor	tt0137523,tt0164212,tt0100789,tt0167205
nm0880243	Jim Uhls	1957	\N	writer,producer,actor	tt0137523,tt2082453,tt0489099,tt4546514
nm0657333	Chuck Palahniuk	1962	\N	writer,actor,producer	tt0137523,tt4546372,tt1773686,tt1024715
nm0000399	David Fincher	1962	\N	producer,director,actor	tt0443706,tt2267998,tt1285016,tt0114369
nm0340260	Zach Grenier	1954	\N	actor,soundtrack	tt0137523,tt0348914,tt2249007,tt8134186
nm0001533	Meat Loaf	1947	2022	actor,soundtrack,producer	tt0073629,tt0105793,tt0137523,tt0227984
nm0001570	Edward Norton	1969	\N	actor,producer,writer	tt2562232,tt0117381,tt0120586,tt0137523
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt0114746,tt2935510,tt0356910,tt1210166
nm0513165	Art Linson	1942	\N	producer,writer,director	tt0758758,tt0486674,tt0094226,tt0137523
nm0000293	Sean Bean	1959	\N	actor,producer,animation_department	tt0944947,tt0167261,tt0120737,tt1181791
nm0761744	Tim Sanders	\N	\N	producer,production_manager,location_management	tt0298228,tt0403407,tt0120737,tt0116365
nm0823330	Steve Starkey	\N	\N	producer,assistant_director,editorial_department	tt0162222,tt0109830,tt0118884,tt1907668
nm0277704	Wendy Finerman	1961	\N	producer	tt0303933,tt0109830,tt0116277,tt1598828
nm0744839	Eric Roth	1945	\N	producer,writer,miscellaneous	tt0140352,tt0421715,tt0109830,tt1160419
nm0343165	Winston Groom	1943	2020	writer,actor	tt0090663,tt0156812,tt0109830,tt1852826
nm0000709	Robert Zemeckis	1952	\N	producer,writer,director	tt0118884,tt0109830,tt0088763,tt1907668
nm0000398	Sally Field	1946	\N	actress,producer,soundtrack	tt0076729,tt0098384,tt0109830,tt0443272
nm0000641	Gary Sinise	1955	\N	actor,producer,director	tt0109830,tt0112384,tt0117438,tt0105046
nm0000705	Robin Wright	1966	\N	actress,producer,director	tt0093779,tt0109830,tt0217869,tt0442933
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0120815,tt0162222,tt0094737,tt0109830
nm0005494	Steve Tisch	1949	\N	producer,actor,miscellaneous	tt0454921,tt0109830,tt0119925,tt11003218
nm0342090	Alberto Grimaldi	1925	2021	producer,miscellaneous	tt0064866,tt0217505,tt0074262,tt0070849
nm0769249	Furio Scarpelli	1919	2010	writer,director,soundtrack	tt0110877,tt0052216,tt0056945,tt0093004
nm0408488	Agenore Incrocci	1919	2005	writer,director,actor	tt0058564,tt0056945,tt0060196,tt0052216
nm0898812	Luciano Vincenzoni	1926	2013	writer,actor,producer	tt0058564,tt0060196,tt0062271,tt0091828
nm0001466	Sergio Leone	1929	1989	assistant_director,writer,director	tt0067140,tt0058461,tt0087843,tt0060196
nm0321294	Aldo Giuffrè	1924	2010	actor,miscellaneous,soundtrack	tt0055358,tt0060196,tt0063480,tt0066268
nm0001812	Lee Van Cleef	1925	1989	actor,soundtrack	tt0082340,tt0059578,tt0056217,tt0060196
nm0908919	Eli Wallach	1915	2014	actor,producer,miscellaneous	tt0060196,tt0457939,tt0054047,tt0048973
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt0105695,tt0112579,tt0405159,tt1205489
nm0001553	Ennio Morricone	1928	2020	composer,soundtrack,music_department	tt0120731,tt0094226,tt1924396,tt3460252
nm0691084	Bill Pope	1952	\N	cinematographer,director,camera_department	tt3040964,tt0316654,tt0133093,tt3890160
nm0204485	Don Davis	1957	\N	composer,music_department,soundtrack	tt0234215,tt0242653,tt0133093,tt0163025
nm0005428	Joel Silver	1952	\N	producer,actor,miscellaneous	tt3799694,tt0133093,tt0095016,tt5444294
nm0905152	Lilly Wachowski	1967	\N	writer,producer,director	tt0115736,tt0234215,tt0133093,tt1617661
nm0905154	Lana Wachowski	1965	\N	writer,producer,director	tt0115736,tt1617661,tt0234215,tt0133093
nm0915989	Hugo Weaving	1960	\N	actor,soundtrack,producer	tt0120737,tt0434409,tt0167260,tt0167261
nm0005251	Carrie-Anne Moss	1967	\N	actress,producer	tt0457572,tt0242653,tt0209144,tt0133093
nm0000401	Laurence Fishburne	1961	\N	actor,producer,writer	tt0234215,tt0133093,tt1598778,tt0327056
nm0000206	Keanu Reeves	1964	\N	actor,producer,soundtrack	tt0102685,tt0133093,tt0111257,tt0234215
nm0821205	Zach Staenberg	1954	\N	editor,editorial_department,producer	tt0133093,tt2557478,tt1731141,tt1637688
nm0477158	James Y. Kwei	\N	\N	editor,editorial_department,producer	tt0099685,tt0091499,tt0088680,tt0112641
nm0000841	Michael Ballhaus	1935	2017	cinematographer,director,actor	tt0217505,tt0106226,tt0099685,tt0103874
nm0005563	Irwin Winkler	1931	\N	producer,writer,director	tt0075148,tt3076658,tt0264796,tt0099685
nm0683380	Nicholas Pileggi	1933	\N	writer,producer	tt0099685,tt0112641,tt0765429,tt1302006
nm0000217	Martin Scorsese	1942	\N	producer,director,actor	tt0099685,tt0070379,tt0106226,tt0075314
nm0000966	Lorraine Bracco	1954	\N	actress,producer,director	tt0112461,tt0099685,tt0104839,tt0141842
nm0000582	Joe Pesci	1943	\N	actor,soundtrack	tt0099685,tt0081398,tt1302006,tt0104952
nm0000501	Ray Liotta	1954	2022	actor,producer,soundtrack	tt0272207,tt0099685,tt0091983,tt0365686
nm0774817	Thelma Schoonmaker	1940	\N	editor,editorial_department,producer	tt0338751,tt1302006,tt0407887,tt0081398
nm0476030	Gary Kurtz	1940	2018	producer,assistant_director,production_manager	tt0069704,tt0076759,tt0083791,tt3651448
nm0000184	George Lucas	1944	\N	writer,producer,director	tt0076759,tt0082971,tt0066434,tt0069704
nm0001410	Lawrence Kasdan	1949	\N	writer,producer,director	tt0090022,tt0082971,tt0085244,tt0111756
nm0102824	Leigh Brackett	1915	1978	writer	tt0080684,tt0038355,tt0070334,tt0061619
nm0449984	Irvin Kershner	1923	2010	director,cinematographer,actor	tt0086006,tt0110725,tt0080684,tt0100502
nm0001850	Billy Dee Williams	1937	\N	actor,soundtrack,writer	tt4116284,tt0080684,tt0086190,tt2527338
nm0000402	Carrie Fisher	1956	2016	actress,miscellaneous,soundtrack	tt0080684,tt0086190,tt0076759,tt2527336
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt0118571,tt0082971,tt0106977,tt0090329
nm0000434	Mark Hamill	1951	\N	actor,soundtrack,producer	tt0076759,tt0080684,tt2527336,tt0086190
nm0564768	Rick McCallum	1950	\N	producer,production_manager,actor	tt0080684,tt0076759,tt0120915,tt0121766
nm0913670	Dale Wasserman	1914	2008	writer,producer,soundtrack	tt0046587,tt0050013,tt0073486,tt0052365
nm0450181	Ken Kesey	1935	2001	writer,actor,director	tt0075336,tt0111522,tt0067774,tt0073486
nm0325743	Bo Goldman	1932	\N	writer,producer,script_department	tt0081150,tt0073486,tt0105323,tt0119643
nm0369142	Lawrence Hauben	1931	1985	actor,writer	tt0062138,tt0062597,tt0063955,tt0073486
nm0001232	Milos Forman	1932	2018	director,writer,actor	tt0073486,tt0117318,tt0086879,tt0079261
nm0110480	Peter Brocco	1903	1992	actor	tt0059557,tt0094142,tt0054331,tt0073486
nm0077720	Michael Berryman	1948	\N	actor,producer,transportation_department	tt0073486,tt0077681,tt0090305,tt0395584
nm0001221	Louise Fletcher	1934	2022	actress	tt0114857,tt0093036,tt0139134,tt0073486
nm0000197	Jack Nicholson	1937	\N	actor,soundtrack,producer	tt0407887,tt0119822,tt0071315,tt0073486
nm0000140	Michael Douglas	1944	\N	actor,producer,soundtrack	tt0094291,tt0093010,tt1291580,tt0181865
nm0643553	Lynda Obst	\N	\N	producer,writer	tt0816692,tt0133952,tt0092513,tt0118884
nm3237775	Mackenzie Foy	2000	\N	actress,soundtrack	tt1457767,tt1754656,tt1673434,tt0816692
nm1567113	Jessica Chastain	1977	\N	actress,producer,soundtrack	tt2937898,tt0816692,tt1790885,tt4209788
nm0004266	Anne Hathaway	1982	\N	actress,soundtrack,producer	tt1345836,tt1084950,tt1707386,tt0758752
nm0000190	Matthew McConaughey	1969	\N	actor,producer,soundtrack	tt1726669,tt0790636,tt1915581,tt1935179
nm0887227	Hoyte Van Hoytema	1971	\N	cinematographer,camera_department,composer	tt5013056,tt6723592,tt2935510,tt0816692
nm0053070	Andrea Barata Ribeiro	\N	\N	producer,manager	tt0861689,tt1268204,tt0317248,tt7825208
nm1130251	Bráulio Mantovani	\N	\N	writer,producer,script_department	tt0861739,tt0857355,tt0317248,tt1555149
nm0513130	Paulo Lins	1958	\N	writer,director,actor	tt0296755,tt0317248,tt0424374,tt0364801
nm0526199	Kátia Lund	1966	\N	director,writer,assistant_director	tt0118615,tt10445014,tt0317248,tt0296108
nm0576987	Fernando Meirelles	1955	\N	director,producer,writer	tt0387131,tt8404614,tt0317248,tt0861689
nm1249574	Phellipe Haagensen	1984	\N	actor	tt0317248,tt1003023,tt0316969,tt0364801
nm0618690	Matheus Nachtergaele	1969	\N	actor,soundtrack,director	tt1136609,tt0271383,tt0317248,tt0810096
nm1129884	Leandro Firmino	1978	\N	actor	tt1921149,tt5983438,tt0317248,tt21159214
nm1179105	Alexandre Rodrigues	1983	\N	actor	tt9856336,tt1447660,tt0317248,tt12076024
nm0708723	Mauricio Andrade Ramos	\N	\N	producer	tt0388489,tt3695986,tt0317248,tt0337692
nm0386749	Joe Hisaishi	1950	\N	composer,music_department,soundtrack	tt2013293,tt0245429,tt0876563,tt0119250
nm0840699	Toshio Suzuki	1948	\N	producer,animation_department,miscellaneous	tt3398268,tt0347149,tt0245429,tt2013293
nm0005124	John Lasseter	1957	\N	producer,writer,director	tt0120363,tt0317219,tt0120623,tt0114709
nm0259689	Donald W. Ernst	1934	\N	editor,sound_department,music_department	tt0107131,tt0120910,tt0103639,tt0245429
nm0594503	Hayao Miyazaki	1941	\N	animation_department,director,art_department	tt0119698,tt0347149,tt0096283,tt0245429
nm0383708	Rumi Hiiragi	1987	\N	actress	tt1473235,tt1798188,tt0245429,tt0876563
nm0997115	Miyu Irino	1988	\N	actor,soundtrack	tt1825371,tt0245429,tt2591814,tt5323662
nm0687189	Suzanne Pleshette	1937	2008	actress,soundtrack	tt0056869,tt0245429,tt0068049,tt0056424
nm0153738	Daveigh Chase	1990	\N	actress,soundtrack	tt0275847,tt0246578,tt0298130,tt0245429
nm0645777	Atsushi Okui	\N	\N	cinematographer,camera_department,visual_effects	tt2013293,tt0245429,tt0094625,tt0119698
nm0506013	Gary Levinsohn	1959	\N	producer	tt0790724,tt0120815,tt0114746,tt0120458
nm0330428	Mark Gordon	1956	\N	producer,director,actor	tt0120815,tt0945513,tt0319262,tt0790712
nm0117290	Ian Bryce	\N	\N	producer,assistant_director,production_manager	tt0418279,tt0181875,tt0145487,tt0120815
nm0734441	Robert Rodat	1953	\N	writer,producer,director	tt0120815,tt0116329,tt1462059,tt0187393
nm0122653	Edward Burns	1968	\N	actor,writer,producer	tt0491109,tt0112585,tt0117628,tt0120815
nm0001744	Tom Sizemore	1961	\N	actor,producer,writer	tt0120004,tt0265086,tt0120815,tt0114558
nm0000354	Matt Damon	1970	\N	producer,actor,soundtrack	tt0119217,tt0134119,tt0407887,tt3659388
nm0005897	David Tattersall	1960	\N	cinematographer,camera_department,composer	tt0121766,tt0120689,tt0121765,tt1214962
nm0883603	David Valdes	1950	\N	producer,assistant_director,production_manager	tt0105695,tt0120689,tt0316356,tt1037705
nm0001372	Bonnie Hunt	1961	\N	producer,writer,actress	tt0116695,tt0120689,tt0113497,tt0095953
nm0001556	David Morse	1953	\N	actor,director,producer	tt0114746,tt0118884,tt0120689,tt0887912
nm0003817	Michael Clarke Duncan	1957	2012	actor,soundtrack,producer	tt0120689,tt0401792,tt0120591,tt0190138
nm0003607	Nicola Piovani	1946	\N	composer,soundtrack,music_department	tt0091113,tt0118799,tt0208990,tt0419198
nm0274754	Elda Ferri	\N	\N	producer,miscellaneous,writer	tt0107276,tt0448197,tt0118799,tt0349995
nm0001897	John M. Davis	\N	\N	music_department,sound_department,composer	tt0395251,tt8721424,tt0118799,tt1210042
nm0105346	Gianluigi Braschi	1963	2008	producer,miscellaneous	tt0419198,tt0118799,tt0102164,tt0110570
nm0148437	Vincenzo Cerami	1940	2013	writer,soundtrack,actor	tt0118799,tt0102164,tt0100389,tt0419198
nm0243842	Giustino Durano	1923	2002	actor,writer	tt0419319,tt0246615,tt0054222,tt0118799
nm0134493	Giorgio Cantarini	1992	\N	actor	tt1390470,tt0118799,tt0172495,tt10147882
nm0000971	Nicoletta Braschi	1960	\N	actress,producer	tt0102164,tt0118799,tt6752992,tt0090967
nm0000905	Roberto Benigni	1952	\N	actor,writer,director	tt0102164,tt0118799,tt0419198,tt0090967
nm0005686	Tonino Delli Colli	1922	2005	cinematographer,camera_department,actor	tt0087843,tt0091605,tt0104779,tt0118799
nm0451787	Darius Khondji	1955	\N	cinematographer,camera_department,actor	tt0101700,tt1602620,tt0114369,tt1605783
nm0006290	Howard Shore	1946	\N	music_department,soundtrack,composer	tt0903624,tt1325004,tt0338751,tt0120737
nm0465745	Arnold Kopelson	1935	2018	producer,miscellaneous,actor	tt0106977,tt0106856,tt0114369,tt0091763
nm0138287	Phyllis Carlyle	\N	\N	producer,casting_director,casting_department	tt0964539,tt0114369,tt0246072,tt0094606
nm0001825	Andrew Kevin Walker	1964	\N	writer,actor,miscellaneous	tt0109327,tt0114369,tt0162661,tt15033192
nm0000228	Kevin Spacey	1959	\N	actor,producer,soundtrack	tt0114369,tt0114814,tt0169547,tt0119488
nm0119322	Conrad Buff IV	1948	\N	editor,visual_effects,editorial_department	tt0146309,tt0120338,tt0103064,tt0096754
nm0004229	Adam Greenberg	1937	\N	cinematographer,camera_department,miscellaneous	tt0099653,tt0120184,tt0103064,tt0088247
nm0006075	Brad Fiedel	1951	\N	music_department,composer,soundtrack	tt0111503,tt0103064,tt0088247,tt0113481
nm0936537	William Wisher	\N	\N	writer,script_department,actor	tt0103064,tt0088247,tt0120657,tt0113492
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0090605,tt0120338,tt0499549,tt0103064
nm0001598	Robert Patrick	1958	\N	actor,producer	tt0133751,tt1599348,tt0419946,tt0103064
nm0000411	Edward Furlong	1977	\N	actor,producer,soundtrack	tt0103064,tt0120586,tt0990407,tt0165710
nm0000157	Linda Hamilton	1956	\N	actress	tt6450804,tt0088247,tt0118928,tt0103064
nm0000216	Arnold Schwarzenegger	1947	\N	actor,producer,director	tt0103064,tt0216216,tt0088247,tt0107362
nm0233827	Dody Dorn	1955	\N	editor,producer,sound_department	tt0278504,tt2713180,tt0096754,tt0209144
nm0768324	Edward Saxon	\N	\N	producer,actor,executive	tt0102926,tt0268126,tt1176740,tt0107818
nm0102508	Ron Bozman	\N	\N	producer,assistant_director,production_manager	tt0457433,tt0264472,tt0327162,tt0102926
nm0848217	Ted Tally	1952	\N	writer,miscellaneous,producer	tt0183523,tt0102926,tt0289765,tt0149624
nm0365383	Thomas Harris	1940	\N	writer	tt0102926,tt0091474,tt0289765,tt0367959
nm0001129	Jonathan Demme	1944	2017	director,producer,writer	tt0368008,tt0107818,tt1084950,tt0102926
nm0501435	Kasi Lemmons	1961	\N	actress,director,producer	tt0102926,tt0103919,tt0119080,tt4648786
nm0095029	Lawrence A. Bonney	\N	\N	actor	tt0102926
nm0000164	Anthony Hopkins	1937	\N	actor,soundtrack,composer	tt0975645,tt0412080,tt0212985,tt0102926
nm0000149	Jodie Foster	1962	\N	actress,director,producer	tt0102926,tt0075314,tt0118884,tt0476964
nm0882588	Kenneth Utt	1921	1994	producer,production_manager,actor	tt0064665,tt0078754,tt0102926,tt0067116
nm0852405	Gilbert Taylor	1914	2013	cinematographer,camera_department,director	tt0059646,tt0075005,tt0080745,tt0076759
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0076759,tt0051739,tt0050212,tt0041546
nm0156816	Richard Chew	1940	\N	editor,editorial_department,cinematographer	tt0071360,tt0076759,tt0184894,tt0073486
nm0006316	Tôru Takemitsu	1930	1996	composer,soundtrack,music_department	tt0107969,tt0089881,tt0058625,tt0056058
nm0396106	Tatsuo Hosoya	\N	\N	producer	tt0056058,tt0440820,tt0038810,tt0052981
nm0368074	Shinobu Hashimoto	1918	2018	writer,director,producer	tt0042876,tt0044741,tt0056058,tt0051808
nm0847668	Yasuhiko Takiguchi	1924	2004	writer	tt1728196,tt0056058,tt2727306,tt0061847
nm0462030	Masaki Kobayashi	1916	1996	director,writer,assistant_director	tt0056058,tt0055233,tt0053114,tt0061847
nm0848533	Tetsurô Tanba	1922	2006	actor,writer,producer	tt0057813,tt0062512,tt0058652,tt0056058
nm0412615	Shima Iwashita	1941	\N	actress	tt0061341,tt0056058,tt0054107,tt0076124
nm0410968	Akira Ishihama	1935	2022	actor	tt0056058,tt0156669,tt0044163,tt0049821
nm0619938	Tatsuya Nakadai	1932	\N	actor	tt0089881,tt0060277,tt0056058,tt0080979
nm0590799	Yoshio Miyajima	1910	1998	cinematographer	tt0045953,tt0058279,tt0053114,tt0056058
nm0370593	Fumio Hayasaka	1914	1955	composer,soundtrack,writer	tt0042876,tt0041699,tt0040979,tt0047478
nm0609404	Sôjirô Motoki	1914	1977	director,producer,writer	tt0050613,tt0044741,tt0047478,tt2328114
nm0644823	Hideo Oguni	1904	1996	writer,director	tt0089881,tt0057565,tt0047478,tt0044741
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0047478,tt0080979,tt0051808,tt0089881
nm0793616	Yukiko Shimazaki	1931	\N	actress	tt0363645,tt0228015,tt0047478,tt0043801
nm0875477	Keiko Tsushima	1926	2012	actress,script_department,soundtrack	tt0348003,tt0164078,tt0047478,tt0044163
nm0793766	Takashi Shimura	1905	1982	actor	tt0041699,tt0044741,tt0047478,tt0042876
nm0001536	Toshirô Mifune	1920	1997	actor,producer,director	tt0057565,tt0055630,tt0047478,tt0050613
nm0620014	Asakazu Nakai	1901	1988	cinematographer,camera_department	tt0047478,tt0041699,tt0089881,tt0057565
nm0827821	Philip Van Doren Stern	1900	1984	writer	tt0038650,tt0076213
nm0842485	Jo Swerling	1893	1964	writer,script_department	tt0035211,tt0048140,tt0037017,tt0038650
nm0352443	Albert Hackett	1900	1995	writer,actor,soundtrack	tt0038650,tt0025878,tt0047472,tt0040308
nm0329304	Frances Goodrich	1890	1984	writer,soundtrack	tt0038650,tt0040308,tt0025878,tt0047472
