tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0111161	movie	The Shawshank Redemption	The Shawshank Redemption	0	1994	\N	142	Drama
tt0068646	movie	The Godfather	The Godfather	0	1972	\N	175	Crime,Drama
tt0468569	movie	The Dark Knight	The Dark Knight	0	2008	\N	152	Action,Crime,Drama
tt0167260	movie	The Lord of the Rings: The Return of the King	The Lord of the Rings: The Return of the King	0	2003	\N	201	Action,Adventure,Drama
tt0108052	movie	Schindler's List	Schindler's List	0	1993	\N	195	Biography,Drama,History
tt0071562	movie	The Godfather Part II	The Godfather Part II	0	1974	\N	202	Crime,Drama
tt0050083	movie	12 Angry Men	12 Angry Men	0	1957	\N	96	Crime,Drama
tt0110912	movie	Pulp Fiction	Pulp Fiction	0	1994	\N	154	Crime,Drama
tt1375666	movie	Inception	Inception	0	2010	\N	148	Action,Adventure,Sci-Fi
tt0167261	movie	The Lord of the Rings: The Two Towers	The Lord of the Rings: The Two Towers	0	2002	\N	179	Action,Adventure,Drama
tt0137523	movie	Fight Club	Fight Club	0	1999	\N	139	Drama
tt0120737	movie	The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Fellowship of the Ring	0	2001	\N	178	Action,Adventure,Drama
tt0109830	movie	Forrest Gump	Forrest Gump	0	1994	\N	142	Drama,Romance
tt0060196	movie	The Good, the Bad and the Ugly	Il buono, il brutto, il cattivo	0	1966	\N	161	Adventure,Western
tt0133093	movie	The Matrix	The Matrix	0	1999	\N	136	Action,Sci-Fi
tt0099685	movie	Goodfellas	Goodfellas	0	1990	\N	145	Biography,Crime,Drama
tt0080684	movie	Star Wars: Episode V - The Empire Strikes Back	The Empire Strikes Back	0	1980	\N	124	Action,Adventure,Fantasy
tt0073486	movie	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	0	1975	\N	133	Drama
tt0816692	movie	Interstellar	Interstellar	0	2014	\N	169	Adventure,Drama,Sci-Fi
tt0317248	movie	City of God	Cidade de Deus	0	2002	\N	130	Crime,Drama
tt0245429	movie	Spirited Away	Sen to Chihiro no kamikakushi	0	2001	\N	125	Adventure,Animation,Family
tt0120815	movie	Saving Private Ryan	Saving Private Ryan	0	1998	\N	169	Drama,War
tt0120689	movie	The Green Mile	The Green Mile	0	1999	\N	189	Crime,Drama,Fantasy
tt0118799	movie	Life Is Beautiful	La vita è bella	0	1997	\N	116	Comedy,Drama,Romance
tt0114369	movie	Se7en	Se7en	0	1995	\N	127	Crime,Drama,Mystery
tt0103064	movie	Terminator 2: Judgment Day	Terminator 2: Judgment Day	0	1991	\N	137	Action,Sci-Fi
tt0102926	movie	The Silence of the Lambs	The Silence of the Lambs	0	1991	\N	118	Crime,Drama,Thriller
tt0076759	movie	Star Wars: Episode IV - A New Hope	Star Wars	0	1977	\N	121	Action,Adventure,Fantasy
tt0056058	movie	Harakiri	Seppuku	0	1962	\N	133	Action,Drama,Mystery
tt0047478	movie	Seven Samurai	Shichinin no samurai	0	1954	\N	207	Action,Drama
tt0038650	movie	It's a Wonderful Life	It's a Wonderful Life	0	1946	\N	130	Drama,Family,Fantasy
tt6751668	movie	Parasite	Gisaengchung	0	2019	\N	132	Drama,Thriller
tt2582802	movie	Whiplash	Whiplash	0	2014	\N	106	Drama,Music
tt1675434	movie	The Intouchables	Intouchables	0	2011	\N	112	Biography,Comedy,Drama
tt0482571	movie	The Prestige	The Prestige	0	2006	\N	130	Drama,Mystery,Sci-Fi
tt0407887	movie	The Departed	The Departed	0	2006	\N	151	Crime,Drama,Thriller
tt0253474	movie	The Pianist	The Pianist	0	2002	\N	150	Biography,Drama,Music
tt0172495	movie	Gladiator	Gladiator	0	2000	\N	155	Action,Adventure,Drama
tt0120586	movie	American History X	American History X	0	1998	\N	119	Crime,Drama
tt0114814	movie	The Usual Suspects	The Usual Suspects	0	1995	\N	106	Crime,Drama,Mystery
tt0110413	movie	Léon: The Professional	Léon	0	1994	\N	110	Action,Crime,Drama
tt0110357	movie	The Lion King	The Lion King	0	1994	\N	88	Adventure,Animation,Drama
tt0095765	movie	Cinema Paradiso	Nuovo Cinema Paradiso	0	1988	\N	155	Drama,Romance
tt0095327	movie	Grave of the Fireflies	Hotaru no haka	0	1988	\N	89	Animation,Drama,War
tt0088763	movie	Back to the Future	Back to the Future	0	1985	\N	116	Adventure,Comedy,Sci-Fi
tt0078788	movie	Apocalypse Now	Apocalypse Now	0	1979	\N	147	Drama,Mystery,War
tt0078748	movie	Alien	Alien	0	1979	\N	117	Horror,Sci-Fi
tt0064116	movie	Once Upon a Time in the West	C'era una volta il West	0	1968	\N	165	Western
tt0054215	movie	Psycho	Psycho	0	1960	\N	109	Horror,Mystery,Thriller
tt0047396	movie	Rear Window	Rear Window	0	1954	\N	112	Mystery,Thriller
tt0034583	movie	Casablanca	Casablanca	0	1942	\N	102	Drama,Romance,War
tt0027977	movie	Modern Times	Modern Times	0	1936	\N	87	Comedy,Drama,Romance
tt0021749	movie	City Lights	City Lights	0	1931	\N	87	Comedy,Drama,Romance
tt8267604	movie	Capernaum	Capharnaüm	0	2018	\N	126	Drama
tt7286456	movie	Joker	Joker	0	2019	\N	122	Crime,Drama,Thriller
tt5311514	movie	Your Name.	Kimi no Na wa.	0	2016	\N	106	Animation,Drama,Fantasy
tt4633694	movie	Spider-Man: Into the Spider-Verse	Spider-Man: Into the Spider-Verse	0	2018	\N	117	Action,Adventure,Animation
tt4154796	movie	Avengers: Endgame	Avengers: Endgame	0	2019	\N	181	Action,Adventure,Drama
tt4154756	movie	Avengers: Infinity War	Avengers: Infinity War	0	2018	\N	149	Action,Adventure,Sci-Fi
tt2380307	movie	Coco	Coco	0	2017	\N	105	Adventure,Animation,Comedy
tt1853728	movie	Django Unchained	Django Unchained	0	2012	\N	165	Drama,Western
tt1745960	movie	Top Gun: Maverick	Top Gun: Maverick	0	2022	\N	130	Action,Drama
tt1345836	movie	The Dark Knight Rises	The Dark Knight Rises	0	2012	\N	164	Action,Drama
tt1187043	movie	3 Idiots	3 Idiots	0	2009	\N	170	Comedy,Drama
tt0910970	movie	WALL·E	WALL·E	0	2008	\N	98	Adventure,Animation,Family
tt0405094	movie	The Lives of Others	Das Leben der Anderen	0	2006	\N	137	Drama,Mystery,Thriller
tt0364569	movie	Oldboy	Oldeuboi	0	2003	\N	120	Action,Drama,Mystery
tt0209144	movie	Memento	Memento	0	2000	\N	113	Mystery,Thriller
tt0169547	movie	American Beauty	American Beauty	0	1999	\N	122	Drama
tt0119698	movie	Princess Mononoke	Mononoke-hime	0	1997	\N	134	Action,Adventure,Animation
tt0112573	movie	Braveheart	Braveheart	0	1995	\N	178	Biography,Drama,History
tt0091251	movie	Come and See	Idi i smotri	0	1985	\N	142	Drama,Thriller,War
tt0090605	movie	Aliens	Aliens	0	1986	\N	137	Action,Adventure,Sci-Fi
tt0086879	movie	Amadeus	Amadeus	0	1984	\N	160	Biography,Drama,Music
tt0082971	movie	Indiana Jones and the Raiders of the Lost Ark	Raiders of the Lost Ark	0	1981	\N	115	Action,Adventure
tt0082096	movie	The Boat	Das Boot	0	1981	\N	149	Drama,War
tt0081505	movie	The Shining	The Shining	0	1980	\N	146	Drama,Horror
